KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
D13.2,Nezhubný nádor dvanástnika,
D13.3,Nezhubný nádor iných a bližšie neurčených častí tenkého čreva,
D13.4,Nezhubný nádor pečene,Nezhubný nádor vnútropečeňových žlčových ciest
D13.5,Nezhubný nádor extrahepatálnych žlčových ciest,
D13.6,Nezhubný nádor podžalúdkovej žľazy,"Nepatrí sem:  
Endokrinná časť pankreasu (D13.7)"
D13.7,Nezhubný nádor endokrinného pankreasu,"Nezhubný nádor ostrovčekov pankreasu 
Inzulinóm"
D13.9,Nezhubný nádor na nepresne určenom mieste tráviacej sústavy,"Bližšie nezhubný nádor hrubého čreva 
Bližšie nezhubný nádor sleziny 
Bližšie neurčená neoplázia bližšie neurčenej časti tráviacej sústavy"
D14.-,Nezhubný nádor stredného ucha a dýchacej sústavy,
D14.0,"Nezhubný nádor stredného ucha, nosovej dutiny a prinosových dutín","Nezhubný nádor chrupky nosa 
Nepatrí sem:  
Nezhubný nádor bulbus olfactorius (D33.3) 
Nezhubný nádor vonkajšieho zvukovodu (D22.2, D23.2) 
Nezhubný nádor zadného okraja nosovej priehradky a choán (D10.6) 
Nezhubný nádor kosti:  
• nosa (D16.42) 
• ucha (D16.41) 
Nezhubný nádor nosa (nosnej):  
• kože (D22.3, D23.3) 
• bližšie neurčený (D36.7) 
Nezhubný nádor kože vonkajšieho ucha (D22.2, D23.2) 
Nezhubný nádor ušnej chrupky (D21.0) 
Polyp:  
• nosový (nosovej dutiny) (J33.-) 
• vedľajších nosových dutín (J33.8) 
• ucha (stredného ucha)(H74.4)"
D14.1,Nezhubný nádor hrtana,"Nezhubný nádor hlasivky (suprahyoidovej časti) 
Nepatrí sem:  
Nezhubný nádor prednej plochy hlasivky (D10.5) 
Polyp hlasivky a hrtana (J38.1)"
D14.2,Nezhubný nádor priedušnice,
D14.3,Nezhubný nádor priedušky a pľúc,
D14.4,"Nezhubný nádor dýchacej sústavy, bližšie neurčený",
D15.-,Nezhubný nádor iných a bližšie neurčených vnútrohrudníkových orgánov,"Nepatrí sem:  
Nezhubný nádor mezotelového tkaniva (D19.-)"
D15.0,Nezhubný nádor týmusu,
D15.1,Nezhubný nádor srdca,"Nepatrí sem:  
Nezhubný nádor veľkých ciev (D21.3)"
D15.2,Nezhubný nádor mediastina,
D15.7,Nezhubný nádor iných určených vnútrohrudníkových orgánov,
D15.9,"Nezhubný nádor vnútrohrudníkových orgánov, bližšie neurčený",
D16.-,Nezhubný nádor kosti a kĺbovej chrupky,"Patrí sem:  
Keratocystický odontogénny nádor 
Nepatrí sem:  
Nezhubný nádor spojivového tkaniva:  
• mihalnice  (D21.0) 
• hrtana (D14.1) 
• nosa (D14.0) 
• ucha (D21.0) 
Nezhubný nádor synoviálnej blany (D21.-)"
D16.0,Nezhubný nádor lopatky a dlhých kostí hornej končatiny,
D16.1,Nezhubný nádor krátkych kostí hornej končatiny,
D16.2,Nezhubný nádor dlhých kostí dolnej končatiny,
D16.3,Nezhubný nádor krátkych kostí dolnej končatiny,
D16.4-,Nezhubný nádor kostí lebky a tváre,"Nepatrí sem:  
Nezhubný nádor kosti dolnej čeľuste (D16.5)"
D16.41,"Nezhubný nádor kosti a kĺbovej chrupky, kraniofaciálna oblasť","Nezhubný nádor kostí očnice 
Nezhubný nádor:  
• os oethmoidale 
• os ofrontale 
• os occipitale 
• os parietale 
• os sphenoidale 
• os temporale"
D16.42,"Nezhubný nádor kosti a kĺbovej chrupky, maxilofaciálna oblasť","Bližšie neurčený nezhubný nádor tvárových kostí 
Nezhubný nádor čeľuste 
Nezhubný nádor nosových mušlí 
Nezhubný nádor hornej čeluste 
Nezhubný nádor:  
• os nasale 
• os zygomaticum 
Nezhubný nádor čeriesla (vomeru)"
D16.5,Nezhubný nádor kostí dolnej čeľuste,Nezhubný nádor sánky
D16.6,Nezhubný nádor chrbtice,"Nepatrí sem:  
Nezhubný nádor krížovej kosti a kostrče (D16.8)"
D16.7-,"Nezhubný nádor rebier, mostíka a kľúčnej kosti",
D16.70,Nezhubný nádor kosti a kĺbovej chrupky rebier,
D16.71,Nezhubný nádor kosti a kĺbovej chrupky hrudnej kosti,
D16.72,Nezhubný nádor kosti a kĺbovej chrupky kľúčnej kosti,
D16.8,"Nezhubný nádor panvových kostí, krížovej kosti a kostrče","Nezhubný nádor panvovej kosti 
Nezhubný nádor krížovej kosti 
Nezhubný nádor kostrče"
D16.9,"Nezhubný nádor kosti a kĺbovej chrupky, bližšie neurčený",
D17.-,Nezhubný lipomatózny nádor,"Patrí sem:  
Morfologický kód M885 – M888 so stupňom malignity /0"
D17.0,"Nezhubný lipomatózny nádor kože a podkožného tkaniva hlavy, tváre a krku",
D17.1,Nezhubný lipomatózny nádor kože a podkožného tkaniva trupu,
D17.2,Nezhubný lipomatózny nádor kože a podkožného tkaniva končatín,
D17.3,Nezhubný lipomatózny nádor kože a podkožného tkaniva na iných a bližšie neurčených miestach,
D17.4,Nezhubný lipomatózny nádor vnútrohrudníkových orgánov,
D17.5,Nezhubný lipomatózny nádor vnútrobrušných orgánov,"Nepatrí sem:  
Nezhubný nádor pobrušnice a retroperitonea (D17.7)"
D17.6,Nezhubný lipomatózny nádor semenného povrazca,
D17.7,Nezhubný lipomatózny nádor na inom mieste,"Nezhubný nádor peritonea 
Nezhubný nádor retroperitonea"
D17.9,"Nezhubný lipomatózny nádor, bližšie neurčený",Bližšie neurčený lipóm
D18.-,Hemangióm a lymfangióm,"Patrí sem:  
Morfologický kód M912 – M917 so stupňom malignity /0 
Nepatrí sem:  
Modrý alebo pigmentový névus (D22.-)"
C83.3,Difúzny veľkobunkový lymfóm z B-buniek,"Difúzny veľkobunkový lymfóm z B-buniek:  
• anaplastický 
• CD30-pozitívny 
• imunoblastický 
• plazmatickoblastický 
• podtypovo nešpecifikovaný 
• bohatý na T-bunky 
• centroblastický 
Nepatrí sem:  
Mediastinálny (týmusový) veľkobunkový lymfóm z B-buniek (C85.2) 
Lymfóm zo zrelých T/NK-buniek (C84.-)"
C83.5,Lymfoblastový lymfóm,"Lymfoblastový lymfóm z prekurzorov B-buniek 
Lymfoblastový lymfóm z B-buniek 
Lymfoblastový lymfóm z T-buniek 
Lymfoblastový lymfóm, bližšie neurčený 
Lymfoblastový lymfóm z prekurzorov T-buniek"
C83.7,Burkittov lymfóm,"Atypický Burkittov lymfóm 
„Burkitt-like“-lymfóm 
Nepatrí sem:  
Leukémia zo zrelých B-buniek Burkittovho typu (C91.8)"
C83.8,Iný nefolikulový lymfóm,"Lymfóm z B-buniek s primárnym výpotkom 
Intravaskulárny veľkobunkový lymfóm z B-buniek 
Lymfomatoidná granulomatóza 
Nepatrí sem:  
Mediastinálny (týmusový) veľkobunkový lymfóm z B-buniek (C85.2) 
Lymfóm z B-buniek, bohatý na T-bunky (C83.3)"
C83.9,"Nefolikulový lymfóm, bližšie neurčený",
C84.-,Lymfóm zo zrelých T/NK-buniek,
C84.0,Mycosis fungoides,
C84.1,Sézaryho choroba,
C84.4,"Periférny lymfóm z T-buniek, nezatriedený","Lennertov lymfóm 
Lymfoepiteloidný lymfóm"
C84.5,Iný lymfóm zo zrelých T/NK-buniek,"Poznámka:  
Ak sa pri bližšie určenom lymfóme vyskytne klon alebo odčlenenie T-buniek, použije sa  bližšie popisný kód 
Nepatrí sem:  
Angioimunoblastový lymfóm z T-buniek (C86.5) 
Blastový lymfóm z NK-buniek (C86.4) 
Extranodálny lymfóm z NK/T-buniek, nosový typ (C86.0) 
Hepatosplenický lymfóm z T-buniek (C86.1) 
Primárna kožná CD30-pozitívna lymfoproliferatívna choroba z T-buniek (C86.6) 
Podkožný panikulitíde podobný lymfóm z T-buniek (C86.3) 
Leukémie z T-buniek (C91.-) 
Enteropatický (intestinálny) lymfóm z T-buniek (C86.2)"
C84.6,"Anaplastický veľkobunkový lymfóm, ALK-pozitívny","Anaplastický veľkobunkový lymfóm, CD30-pozitívny"
C84.7,"Anaplastický veľkobunkový lymfóm, ALK-negatívny","Nepatrí sem:  
Primárna kožná CD30-pozitívna lymfoproliferatívna choroba z T-buniek (C86.6)"
C84.8,"Kožný lymfóm z T-buniek, bližšie neurčený",
C84.9,"Lymfóm zo zrelých T/NK-buniek, bližšie neurčený","Lymfóm z T/NK-buniek, bližšie neurčený 
Nepatrí sem:  
Lymfóm zo zrelých T-buniek, nezatriedený (C84.4)"
C85.-,Iný a bližšie neurčený typ non-Hodgkinovho lymfómu,
C85.1,"Lymfóm z B-buniek, bližšie neurčený","Poznámka: ak sa vyskytne pri bližšie určenom lymfóme klon alebo odčlenenie B-buniek, použije sa  bližšie popisný kód"
C85.2,Mediastinálny (týmusový) veľkobunkový lymfóm z B-buniek,
C85.7,Iný bližšie určený typ non-Hodgkinovho lymfómu,
C85.9,"Non-Hodgkinov lymfóm, bližšie neurčený","Malígny lymfóm,bližšie neurčený 
Lymfóm, bližšie neurčený 
Non-Hodgkinov lymfóm, bližšie neurčený"
C86.-,"Iný lymfóm z T/NK-buniek, bližšie určený","Nepatrí sem:  
Anaplastický veľkobunkový lymfóm, ALK-negatívny (C84.7) 
Anaplastický veľkobunkový lymfóm, ALK-pozitívny (C84.6)"
C86.0,"Extranodálny lymfóm z NK/T- buniek, nosový typ",
C86.1,Hepatosplenický lymfóm z T-buniek,Zahŕňa typy alfa/beta a gama/delta
C86.2,Enteropatický (intestinálny) lymfóm z T-buniek,Lymfóm z T-buniek spojený s enteropatiou
C86.3,Podkožný panikulitíde podobný lymfóm z T-buniek,
C86.4,Blastový lymfóm z NK-buniek,
C86.5,Angioimunoblastový lymfóm z T-buniek,Angioimunoblastová lymfadenopatia s dysproteinémiou (AILD)
C86.6,Primárna kožná CD30-pozitívna lymfoproliferatívna choroba z T-buniek,"Lymfomatoidná papulóza 
Primárny kožný anaplastický veľkobunkový lymfóm 
Primárny kožný CD30-pozitívny veľkobunkový lymfóm z T-buniek"
C88.-,Zhubná imunoproliferatívna choroba,"Pre kategóriu C88 sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C88.0-,Waldenströmova makroglobulinémia,"Lymfoplazmocytový lymfóm s produkciou protilátok IgM 
Makroglobulinémia (primárna) (idiopatická) 
Nepatrí sem:  
Lymfóm z B-buniek (C83.0)"
C88.00,"Waldenströmova makroglobulinémia, bez kompletnej remisie",
C88.01,"Waldenströmova makroglobulinémia, v kompletnej remisii",
C88.2-,Iné choroby ťažkých reťazcov,"Franklinova choroba 
Choroba ťažkých reťazcov gama 
Choroba ťažkých reťazcov mí"
C88.20,"Iná choroba ťažkých reťazcov, bez kompletnej remisie",
C88.21,"Iná choroba ťažkých reťazcov, v kompletnej remisii",
C88.3-,Imunoproliferatívna choroba tenkého čreva,"Choroba ťažkých reťazcov alfa 
Imunoproliferatívna choroba tenkého čreva stredomorského typu"
C88.30,"Imunoproliferatívna choroba tenkého čreva, bez kompletnej remisie",
C88.31,"Imunoproliferatívna choroba tenkého čreva, v kompletnej remisii",
C88.4-,Extranodálny lymfóm z B-buniek marginálnej zóny lymfatického tkaniva sliznice (MALT-lymfóm),"Poznámka: 
ak je udávaný prechod do vysokomalígneho (difúzneho veľkobunkového) lymfómu, treba použiť prídavný kód (C83.3). 
Lymfóm z lymfatického tkaniva spojeného s kožou (SALT-lymfóm) 
Lymfóm z lymfatického tkaniva spojeného s prieduškami (BALT-lymfóm)"
C88.40,"Extranodálny lymfóm z B-buniek marginálnej zóny lymfatického tkaniva sliznice (MALT-lymfóm), bez kompletnej remisie",
C88.41,"Extranodálny lymfóm z B-buniek marginálnej zóny lymfatického tkaniva sliznice (MALT-lymfóm), v kompletnej remisii",
C88.7-,Iná zhubná imunoproliferatívna choroba,
C88.70,"Iná zhubná imunoproliferatívna choroba, bez kompletnej remisie",
C88.71,"Iná zhubná imunoproliferatívna choroba, v kompletnej remisii",
C88.9-,"Zhubná imunoproliferatívna choroba, bližšie neurčená",Bližšie neurčená imunoproliferatívna choroba
C88.90,"Zhubná imunoproliferatívna choroba, bližšie neurčená, bez kompletnej remisie",
C88.91,"Zhubná imunoproliferatívna choroba, bližšie neurčená, v kompletnej remisii",
C90.-,Mnohopočetný myelóm a zhubné nádory z plazmatických buniek,"Pre kategóriu C90 sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C90.0-,Mnohopočetný myelóm,"Kahlerova choroba 
Medulárny plazmocytóm 
Myelomatóza 
Myelóm z plazmatických buniek 
Nepatrí sem: 
Solitárny plazmocytóm (C90.3-)"
C90.00,"Mnohopočetný myelóm, bez kompletnej remisie",
C90.01,"Mnohopočetný myelóm, v kompletnej remisii",
C90.1-,Plazmocytová leukémia,Leukémia z plazmatických buniek
C90.10,"Plazmocytová leukémia, bez kompletnej remisie",
C90.11,"Plazmocytová leukémia, v kompletnej remisii",
C90.2-,Extramedulárny plazmocytóm,
C90.20,"Extramedulárny plazmocytóm, bez kompletnej remisie",
C90.21,"Extramedulárny plazmocytóm, v kompletnej remisii",
C90.3-,Solitárny plazmocytóm,"Lokalizovaný zhubný plazmocytový nádor, bližšie neurčený 
Plazmocytóm, bližšie neurčený 
Solitárny myelóm"
C90.30,"Solitárny plazmocytóm, bez kompletnej remisie",
C90.31,"Solitárny plazmocytóm, v kompletnej remisii",
C91.-,Lymfocytová leukémia,"Použite prídavný kód (C95.8) kvôli údaju leukémie refraktérnej na štandardnú indukčnú liečbu 
Pre kategóriu C91 sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C91.0-,Akútna lymfoblastová leukémia (ALL),Poznámka: tento kód je vyhradený výlučne pre prechodnú leukémiu z B-buniek alebo z T-buniek
C91.00,"Akútna lymfoblastová leukémia, bez kompletnej remisie",
C91.01,"Akútna lymfoblastová leukémia, v kompletnej remisii",
C91.1-,Chronická lymfatická leukémia z B-buniek,"Lymfoplazmocytoidná leukémia 
Richterov syndróm 
Nepatrí sem:  
Lymfoplazmocytoidný lymfóm (C83.0)"
C91.10,"Chronická lymfatická leukémia, bez kompletnej remisie",
C91.11,"Chronická lymfatická leukémia, v kompletnej remisii",
C91.3-,Prolymfocytová leukémia z B-buniek,
C91.30,"Prolymfocytová leukémia z B-buniek, bez kompletnej remisie",
C91.31,"Prolymfocytová leukémia z B-buniek, v kompletnej remisii",
C91.4-,Vlasatobunková leukémia,Leukemická retikuloendotelióza 
C91.40,"Vlasatobunková leukémia, bez kompletnej remisie",
C91.41,"Vlasatobunková leukémia, v kompletnej remisii",
C91.5-,Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1,"Akútna forma 
Chronická forma 
Lymfomatózna forma 
Tlejúca forma"
C91.50,"Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1, bez kompletnej remisie",
C91.51,"Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1, v kompletnej remisii",
C91.6-,Prolymfocytová leukémia z T-buniek,
C91.60,"Prolymfocytová leukémia z T-buniek, bez kompletnej remisie",
C91.61,"Prolymfocytová leukémia z T-buniek, v kompletnej remisii",
C91.7-,Iná lymfatická leukémia,Leukémia z hrubogranulovaných T-lymfocytov (spojená s reumatoidnou artritídou)
C91.70,"Iná lymfatická leukémia, bez kompletnej remisie",
C91.71,"Iná lymfatická leukémia, v kompletnej remisii",
C91.8-,Leukémia zo zrelých B-buniek Burkittovho typu,"Nepatrí sem:  
Burkittov lymfóm s minimálnou alebo žiadnou infiltráciou kostnej drene (C83.7)"
C91.80,"Leukémia zo zrelých B-buniek Burkittovho typu, bez kompletnej remisie",
C91.81,"Leukémia zo zrelých B-buniek Burkittovho typu, v kompletnej remisii",
C91.9-,"Lymfatická leukémia, bližšie neurčená",
C91.90,"Lymfatická leukémia, bližšie neurčená, bez kompletnej remisie",
C91.91,"Lymfatická leukémia, bližšie neurčená, v kompletnej remisii",
C92.-,Myeloická leukémia,"Patrí sem:  
Leukémia:  
• Granulocytová 
• Myelogénna 
Pri leukémii refraktérnej na štandardnú indukčnú liečbu treba použiť prídavný kód (C95.8). 
Pre kategóriu C92 sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C92.0-,Akútna myeloblastová leukémia (AML),"Akútna myeloická leukémia, minimálne diferencovaná 
Akútna myeloická leukémia (s vyzrievaním) 
AML1/ETO 
AML M0 
AML M1 
AML M2 
AML s translokáciou t (8;21) 
Bližšie neurčená  akútna myeloblastická leukémia (bez FAB klasifikácie) 
Refraktérna anémia s blastickou krízou v transformácii 
Nepatrí sem:  
Akútna exacerbácia chronickej myeloickej leukémie (C92.1-)"
C92.00,"Akútna myeloblastová leukémia (AML), bez kompletnej remisie",
C92.01,"Akútna myeloblastová leukémia (AML), v kompletnej remisii",
C92.1-,"Chronická myeloická leukémia (CML), BCR/ABL-pozitívna","Chronická myeloická  leukémia (CML): 
• Philadelphia-chromozóm  pozitívna
• s translokáciou  t(9;22) (q34;q11) 
• s blastovou krízou
Na označenie blastovej krízy  použiť prídavný kód (C94.8!) 
Nepatrí sem:  
Atypická chronická myeloická leukémia, BCR/ABL-negatívna (C92.2-) 
Chronická myelomonocytárna leukémia (C93.1-) 
Nezatriedený myeloproliferatívny syndróm (D47.1)"
C92.10,"Chronická myeloická leukémia BCR/ABL-pozitívna, bez kompletnej remisie",
C92.11,"Chronická myeloická leukémia BCR/ABL-pozitívna, v kompletnej remisii",
C92.2-,"Atypická chronická myeloická leukémia, BCR/ABL-negatívna",
C92.20,"Atypická chronická myeloická leukémia, BCR/ABL-negatívna, bez kompletnej remisie",
C92.21,"Atypická chronická myeloická leukémia BCR/ABL-negatívna, v kompletnej remisii",
C92.3-,Myelosarkóm,"Poznámka: variant myeloickej leukémie rastúci ako tumor v mäkkom tkanive 
Chloróm 
Granulocytový sarkóm"
C92.30,"Myelosarkóm, bez kompletnej remisie",
C92.31,"Myelosarkóm, v kompletnej remisii",
C92.4-,Akútna promyelocytová leukémia (PCL),"Akútna myeloblastická leukémia (AML) M3 
Akútna myeloblastická leukémia (AML) s translokáciou t (15;17) a variantmi"
C92.40,"Akútna promyelocytová leukémia, bez kompletnej remisie",
C92.41,"Akútna promyelocytová leukémia, v kompletnej remisii",
C92.5-,Akútna myelomonocytová leukémia,"Akútna myeloblastická leukémia (AML) M4 
Akútna myeloblastická leukémia (AML) M4, s inv (16) alebo t (16;16)"
C92.50,"Akútna myelomonocytová leukémia, bez kompletnej remisie",
C92.51,"Akútna myelomonocytová leukémia, v kompletnej remisii",
C92.6-,Akútna myeloická leukémia s 11q23 abnormalitou,"Akútna myeloblastová leukémia s 11q23 abnormalitou 
Akútna myeloblastická leukémia (AML) so zmenami MLL-génov"
C92.60,"Akútna myeloická leukémia s 11q23 abnormalitou, bez kompletnej remisie",
C92.61,"Akútna myeloická leukémia s 11q23 abnormalitou, v kompletnej remisii",
C92.7-,Iná myeloická leukémia,"Nepatrí sem:  
Chronická eozinofilná leukémia [hypereozinofilný syndróm] (D47.5)"
C92.70,"Iná myeloická leukémia, bez kompletnej remisie",
C92.71,"Iná myeloická leukémia, v kompletnej remisii",
C92.8-,Akútna myeloická leukémia s multilineárnou dyspláziou,Poznámka: akútna myeloická leukémia s predchádzajúcou dyspláziou zvyškovej krvotvorby alebo predchádzajúcim myelodysplastickým syndrómom
